"Partners","Partnerji",module,Magento_Marketplace
"Magento Marketplace","Magento Marketplace",module,Magento_Marketplace
"Platinum Partners","Platinum partnerji",module,Magento_Marketplace
"Representing Magento\'s highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Z zastopanjem najvišje ravni partnerskega sodelovanja z Magento, so se Magento Platinum partnerji uveljavili kot voditelji in inovatorji ključnih proizvodov in storitev, namenjenih za pomoč trgovcem in blagovnim znamkam pri rasti njihovega poslovanja. Magento si pridržuje raven Platinum za izbrane in zaupanja vredne partnerje, ki se zavzemajo za ponudbo integracije komercialnih lastnosti, funkcij in orodij, kot tudi sistemov ozadja ter operacij, za razširitev in povečanje moči poslovanja platforme Magento.",module,Magento_Marketplace
"Featured Platinum Partners","Priporočeni platinum partnerji",module,Magento_Marketplace
"Partner search","Iskanje partnerjev",module,Magento_Marketplace
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento ima uspešno ekosistem tehnoloških partnerjev za pomoč trgovcem in blagovnim znamkam zagotoviti najboljše možne izkušnje strank. So priznani kot strokovnjaki v elektronskem poslovanju, iskanju, e-poštnem trženju, plačevanju, davkih, goljufijah, optimizaciji in analitiki, izpolnitvah in še več. Obiščite imenik Magento Partner za prikaz vseh zaupanja vrednih partnerjev.",module,Magento_Marketplace
"More Partners","Več partnerjev",module,Magento_Marketplace
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Razširitve in teme so ključni del ekosistema Magento. Prosimo, obiščite Magento Marketplace, da si ogledate zadnje inovacije, ki so jih razvijalci ustvarili za izboljšanje vaše trgovine Magento.",module,Magento_Marketplace
"Visit Magento Marketplaces","Obiščite Magento Marketplace",module,Magento_Marketplace
"Read More","Izvedite več",module,Magento_Marketplace
"Partner Page","Stran partnerja",module,Magento_Marketplace
"No partners were found","Partnerji niso bili najdeni",module,Magento_Marketplace
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Z zastopanjem najvišje ravni partnerskega sodelovanja z Magento, so se Magento Platinum partnerji uveljavili kot voditelji in inovatorji ključnih proizvodov in storitev, namenjenih za pomoč trgovcem in blagovnim znamkam pri rasti njihovega poslovanja. Magento si pridržuje raven Platinum za izbrane in zaupanja vredne partnerje, ki se zavzemajo za ponudbo integracije komercialnih lastnosti, funkcij in orodij, kot tudi sistemov ozadja ter operacij, za razširitev in povečanje moči poslovanja platforme Magento.",module,Magento_Marketplace
