"Wish List","Seznam želja",module,Magento_Wishlist
"Wish List Sharing","Deljenje seznama želja",module,Magento_Wishlist
"My Wish List","Moj seznam želja",module,Magento_Wishlist
"%1's Wish List","Seznam želja za %1",module,Magento_Wishlist
"Page not found.","Strani ni mogoče najti.",module,Magento_Wishlist
"We can\'t specify a product.","Izdelka ni mogoče določiti.",module,Magento_Wishlist
"We can\'t add the item to Wish List right now: %1.","Elementa trenutno ni mogoče dodati na seznam želja: %1.",module,Magento_Wishlist
"We can\'t add the item to Wish List right now.","Elementa trenutno ni mogoče dodati na seznam želja.",module,Magento_Wishlist
"You added %1 to your shopping cart.","Dodali ste %1 v vašo košarico.",module,Magento_Wishlist
"This product(s) is out of stock.","Tega izdelka ni na zalogi.",module,Magento_Wishlist
"We can\'t add the item to the cart right now.","Elementa trenutno ni mogoče dodati v košarico.",module,Magento_Wishlist
"We can\'t load the Wish List item right now.","Seznama želja trenutno ni mogoče naložiti.",module,Magento_Wishlist
"We can\'t configure the product right now.","Konfiguracija izdelka trenutno ni mogoča.",module,Magento_Wishlist
"The requested cart item doesn\'t exist.","Zahtevani element košarice ne obstaja.",module,Magento_Wishlist
"%1 has been moved to your wish list.","%1 je bil premaknjen na vaš seznam želja.",module,Magento_Wishlist
"We can\'t move the item to the wish list.","Elementa ni mogoče premakniti na seznam želja.",module,Magento_Wishlist
"We can\'t delete the item from Wish List right now because of an error: %1.","Elementa trenutno ni mogoče odstraniti iz seznama želja zaradi napake: %1.",module,Magento_Wishlist
"We can\'t delete the item from the Wish List right now.","Elementa trenutno ni mogoče odstraniti iz seznama želja.",module,Magento_Wishlist
"Message length must not exceed %1 symbols","Dolžina sporočila ne sme presegati %1 simbolov",module,Magento_Wishlist
"Please enter an email address.","Vnesite e-poštni naslov.",module,Magento_Wishlist
"This wish list can be shared %1 more times.","Seznam želja je bil deljen še %1 krat.",module,Magento_Wishlist
"Please enter a valid email address.","Vnesite veljaven naslov e-pošte.",module,Magento_Wishlist
"Your wish list has been shared.","Vaš seznam želja je bil deljen.",module,Magento_Wishlist
"We can\'t delete item from Wish List right now.","Elementa trenutno ni mogoče odstraniti iz seznama želja.",module,Magento_Wishlist
"Can\'t save description %1","Opisa %1 ni mogoče shraniti",module,Magento_Wishlist
"Can\'t update wish list","Seznama želja ni mogoče posodobiti",module,Magento_Wishlist
"%1 has been updated in your Wish List.","%1 je bil posodobljen na vašem seznamu želja.",module,Magento_Wishlist
"We can\'t update your Wish List right now.","Trenutno vašega seznama želja ni mogoče posodobiti.",module,Magento_Wishlist
"The requested Wish List doesn\'t exist.","Zahtevani seznam želja ne obstaja.",module,Magento_Wishlist
"We can\'t create the Wish List right now.","Seznama želja trenutno ni mogoče ustvariti.",module,Magento_Wishlist
"%1 items","%1 elementov",module,Magento_Wishlist
"1 item","1 element",module,Magento_Wishlist
"Comment","Komentar",module,Magento_Wishlist
"Display number of items in wish list","Prikaz števila elementov na seznamu želja",module,Magento_Wishlist
"Display item quantities","Prikaz količine artiklov",module,Magento_Wishlist
"An item option with code %1 already exists.","Možnost elementa s kodo %1 že obstaja.",module,Magento_Wishlist
"We can\'t specify a wish list.","Seznama želja ni mogoče določiti.",module,Magento_Wishlist
"Cannot specify product.","Izdelka ni mogoče določiti.",module,Magento_Wishlist
"Product is not salable.","Izdelek ni za prodajo.",module,Magento_Wishlist
"Invalid item option format.","Neveljaven format možnosti elementa.",module,Magento_Wishlist
"%1 for ""%2"".","%1 za ""%2"".",module,Magento_Wishlist
"We can\'t add this item to your shopping cart right now.","Tega elementa trenutno ni mogoče dodati v vašo košarico.",module,Magento_Wishlist
"We couldn\'t add the following product(s) to the shopping cart: %1.","Sledečih izdelkov ni mogoče dodati košarici: %1.",module,Magento_Wishlist
