"Always","Vedno",module,Magento_Captcha
"After number of attempts to login","Po število poskusov prijave",module,Magento_Captcha
"Provided form does not exist","Podani obrazec ne obstaja",module,Magento_Captcha
"Incorrect CAPTCHA","Napačna varnostna koda",module,Magento_Captcha
"Incorrect CAPTCHA.","Napačna varnostna koda.",module,Magento_Captcha
"The account is locked. Please wait and try again or contact %1.","Račun je zaklenjen. Prosimo, počakajte in poskusite ponovno ali pa kontaktirajte %1.",module,Magento_Captcha
"Please enter the letters from the image","Vnesite črke iz slike",module,Magento_Captcha
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pozor</strong>: Captcha razlikuje med velikimi in malimi črkami.",module,Magento_Captcha
"Reload captcha","Osveži varnostno kodo",module,Magento_Captcha
"Please type the letters below","Vnesite spodnje črke",module,Magento_Captcha
"CAPTCHA","CAPTCHA",module,Magento_Captcha
"Enable CAPTCHA in Admin","Omogoči CAPTCHA v administraciji",module,Magento_Captcha
"Font","Pisava",module,Magento_Captcha
"Forms","Obrazci",module,Magento_Captcha
"Displaying Mode","Način prikaza",module,Magento_Captcha
"Number of Unsuccessful Attempts to Login","Število neuspešnih poskusov prijave",module,Magento_Captcha
"If 0 is specified, CAPTCHA on the Login form will be always available.","Če je določeno 0, bo CAPTCHA na obrazcu za prijavo vedno na voljo.",module,Magento_Captcha
"CAPTCHA Timeout (minutes)","CAPTCHA časovna omejitev (minute)",module,Magento_Captcha
"Number of Symbols","Število simbolov",module,Magento_Captcha
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Navedite največ 8 simbolov. Dovoljen obseg (npr. 3-5)",module,Magento_Captcha
"Symbols Used in CAPTCHA","Uporabljeni simboli v CAPTCHA",module,Magento_Captcha
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
                        V tem polju uporabite samo črke (a-z ali A-Z) ali številke (0-9). Presledki in ostali znaki niso dovoljeni.<br />Podobni znaki (npr. ""i"", ""l"", ""1"") zmanjšajo možnost pravilne prepoznave uporabnika.
                    ",module,Magento_Captcha
"Case Sensitive","Razlikovanje med malimi in velikimi črkami",module,Magento_Captcha
"Enable CAPTCHA on Storefront","Omogoči CAPTCHA na ospredju trgovine",module,Magento_Captcha
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Če se izbere, je CAPTCHA za obrazca ""Ustvari uporabnika"" in ""Pozabljeno geslo"" vedno omogočena.",module,Magento_Captcha
"Attention: Captcha is case sensitive.","Pozor: Captcha razlikuje med velikimi in malimi črkami.",module,Magento_Captcha
