"ALL GROUPS","VSE SKUPINE",module,Magento_CatalogInventory
"Customer Group","Skupina strank",module,Magento_CatalogInventory
"Minimum Qty","Najmanjša količina",module,Magento_CatalogInventory
"Add Minimum Qty","Dodaj najmanjšo količino",module,Magento_CatalogInventory
"We can\'t rebuild the index for an undefined product.","Obnova indeksa za nedefinirani izdelek ni mogoča.",module,Magento_CatalogInventory
"Could not rebuild index for empty products array","Obnova indeksa za prazno polje izdelkov ni mogoča",module,Magento_CatalogInventory
"The stock item for Product is not valid.","Element zaloge za izdelek ni veljaven.",module,Magento_CatalogInventory
"This product is out of stock.","Tega izdelka ni na zalogi.",module,Magento_CatalogInventory
"Some of the products are out of stock.","Nekaterih izdelkov ni na zalogi.",module,Magento_CatalogInventory
"The stock item for Product in option is not valid.","Element zaloge za izdelek v možnosti ni veljaven.",module,Magento_CatalogInventory
"Undefined product type","Nedefinirana vrsta izdelka",module,Magento_CatalogInventory
"%1 is not a correct comparison method.","%1 ni pravilni način primerjave.",module,Magento_CatalogInventory
"No Backorders","Ni prednaročil",module,Magento_CatalogInventory
"Allow Qty Below 0","Dovoli količine pod 0",module,Magento_CatalogInventory
"Allow Qty Below 0 and Notify Customer","Dovoli količine pod 0 in obvesti kupca",module,Magento_CatalogInventory
"In Stock","Na zalogi",module,Magento_CatalogInventory
"Out of Stock","Ni na zalogi",module,Magento_CatalogInventory
"Stock Item with id ""%1"" does not exist.","Element zaloge z id ""%1"" ne obstaja.",module,Magento_CatalogInventory
"Stock with id ""%1"" does not exist.","Zaloga z id ""%1"" ne obstaja.",module,Magento_CatalogInventory
"Not all of your products are available in the requested quantity.","Vsi vaši izdelki niso na voljo v zahtevani količini.",module,Magento_CatalogInventory
"Product with SKU ""%1"" does not exist","Izdelek s SKU ""%1"" ne obstaja",module,Magento_CatalogInventory
"The fewest you may purchase is %1.","Lahko kupite najmanj %1.",module,Magento_CatalogInventory
"Please correct the quantity for some products.","Popravite količine za nekatere izdelke.",module,Magento_CatalogInventory
"The most you may purchase is %1.","Lahko kupite največ %1.",module,Magento_CatalogInventory
"We don't have as many ""%1"" as you requested.","Nimamo toliko ""%1"", kot ste zahtevali.",module,Magento_CatalogInventory
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nimamo toliko ""%1"", kot ste zahtevali, vendar bomo prednaročili preostalih %2.",module,Magento_CatalogInventory
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nimamo ""%1"" v zahtevani količini, tako da bomo prednaročili preostalih %2.",module,Magento_CatalogInventory
"You can buy %1 only in quantities of %2 at a time.","Kupite lahko %1 le v količini po %2 naenkrat.",module,Magento_CatalogInventory
"You can buy this product only in quantities of %1 at a time.","Ta izdelek lahko kupite le v količini po %1 naenkrat.",module,Magento_CatalogInventory
"Decimal qty increments is not allowed.","Decimalni koraki količine niso dovoljeni.",module,Magento_CatalogInventory
"%1 is available to buy in increments of %2","%1 je na voljo za nakup v korakih po %2",module,Magento_CatalogInventory
"Only %1 left","Na voljo samo še %1",module,Magento_CatalogInventory
"Product availability","Razpoložljivost izdelka",module,Magento_CatalogInventory
"Product Name","Ime izdelka",module,Magento_CatalogInventory
"Qty","Količina",module,Magento_CatalogInventory
"Inventory","Zaloga",module,Magento_CatalogInventory
"Stock Options","Možnosti zaloge",module,Magento_CatalogInventory
"Decrease Stock When Order is Placed","Zmanjšaj zalogo, ko je naročilo oddano",module,Magento_CatalogInventory
"Set Items' Status to be In Stock When Order is Cancelled","Nastavi stanje elementov, da so na zalogi, ko je naročilo preklicano",module,Magento_CatalogInventory
"Display Out of Stock Products","Prikaz izdelkov, ki niso na zalogi",module,Magento_CatalogInventory
"Products will still be shown by direct product URLs.","Izdelki bodo še vedno prikazani z direktnimi URL-ji izdelkov.",module,Magento_CatalogInventory
"Only X left Threshold","Mejni prag za Ostaljo jih je samo še X",module,Magento_CatalogInventory
"Display products availability in stock on Storefront.","Prikaz razpoložljivosti izdelkov na zalogi na ospredju trgovine.",module,Magento_CatalogInventory
"Product Stock Options","Možnosti zaloge izdelkov",module,Magento_CatalogInventory
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Bodite pozorni, saj te nastavitve veljajo za posamezne elemente v košarici, ne za celotno košarico.
                ",module,Magento_CatalogInventory
"Manage Stock","Upravljanje zaloge",module,Magento_CatalogInventory
"Backorders","Prednaročila",module,Magento_CatalogInventory
"Maximum Qty Allowed in Shopping Cart","Največja dovoljena količina v košarici",module,Magento_CatalogInventory
"Out-of-Stock Threshold","Meja, ko ni več na zalogi",module,Magento_CatalogInventory
"Minimum Qty Allowed in Shopping Cart","Najmanjša dovoljena količina v košarici",module,Magento_CatalogInventory
"Notify for Quantity Below","Obvesti za količino, ki je manjša",module,Magento_CatalogInventory
"Automatically Return Credit Memo Item to Stock","Samodejno vrni element dobropisa na zalogo",module,Magento_CatalogInventory
"Enable Qty Increments","Omogoči korake količine",module,Magento_CatalogInventory
"Qty Increments","Koraki količine",module,Magento_CatalogInventory
"Stock","Zaloga",module,Magento_CatalogInventory
"Index stock","Indeksiranje zaloge",module,Magento_CatalogInventory
"Quantity","Količina",module,Magento_CatalogInventory
"We can't rebuild the index for an undefined product.","Indeksa za nedefinirani izdelek ni mogoče zgraditi.",module,Magento_CatalogInventory
"Invalid stock id: %1. Only default stock with id %2 allowed","Neveljaven id zaloge: %1. Dovoljena je samo privzeta zaloga z id %2",module,Magento_CatalogInventory
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Neveljaven element zaloge z id: %1. Moral bi biti null ali numerična vrednost večja od 0",module,Magento_CatalogInventory
"Invalid stock item id: %1. Assigned stock item id is %2","Neveljaven id elementa zaloge: %1. Id dodeljenega elementa zaloge je %2",module,Magento_CatalogInventory
"Unable to save Stock Item","Elementa zaloge ni mogoče shraniti",module,Magento_CatalogInventory
"Unable to remove Stock Item with id ""%1""","Elementa zaloge z id ""%1"" ni mogoče odstraniti",module,Magento_CatalogInventory
"Unable to save Stock","Zaloge ni mogoče shraniti",module,Magento_CatalogInventory
"Unable to remove Stock with id ""%1""","Zaloge z id ""%1"" ni mogoče odstraniti",module,Magento_CatalogInventory
"Unable to save Stock Status","Stanja zaloge ni mogoče shraniti",module,Magento_CatalogInventory
"Unable to remove Stock Status for product %1","Stanja zaloge za izdelek %1 ni mogoče odstraniti",module,Magento_CatalogInventory
"Stock Status","Stanje zaloge",module,Magento_CatalogInventory
"Advanced Inventory","Napredni inventar",module,Magento_CatalogInventory
"Inventory Section","Oddelek inventarja",module,Magento_CatalogInventory
"Display Products Availability in Stock on Storefront","Prikaz razpoložljivosti izdelkov na zalogi na ospredju trgovine",module,Magento_CatalogInventory
"Use Config Settings","Uporabi nastavitve konfiguracije",module,Magento_CatalogInventory
"Qty Uses Decimals","Količina uporablja decimalke",module,Magento_CatalogInventory
"Allow Multiple Boxes for Shipping","Omogoči več paketov za dostavo",module,Magento_CatalogInventory
"Use Deferred Stock Update","Uporabi posodobitev odložene zaloge",module,Magento_CatalogInventory
